"id","cell"
"ENSG00000213024","7316_158_S"
"ENSG00000110536","7316_158_S"
"ENSG00000065361","7316_158_S"
"ENSG00000181090","7316_158_S"
"ENSG00000213366","7316_158_S"
"ENSG00000181555","7316_158_S"
"ENSG00000165688","7316_158_S"
"ENSG00000147162","7316_158_S"
"ENSG00000112679","7316_158_S"
"ENSG00000183955","7316_158_S"
"ENSG00000066468","7316_158_S"
"ENSG00000135372","7316_158_S"
"ENSG00000115241","7316_158_S"
"ENSG00000119414","7316_158_S"
"ENSG00000204371","7316_158_S"
"ENSG00000038382","7316_158_S"
"ENSG00000211456","7316_158_S"
"ENSG00000120129","7316_158_S"
"ENSG00000112245","7316_158_S"
"ENSG00000076984","7316_158_S"
"ENSG00000144182","7316_158_S"
"ENSG00000077782","7316_158_S"
"ENSG00000122484","7316_158_S"
"ENSG00000058729","7316_158_S"
"ENSG00000163527","7316_158_S"
"ENSG00000092445","7316_158_S"
"ENSG00000156599","7316_158_S"
"ENSG00000096968","7316_158_S"
"ENSG00000060237","7316_158_S"
"ENSG00000097007","7316_158_S"
"ENSG00000065243","7316_158_S"
"ENSG00000103653","7316_158_S"
"ENSG00000065883","7316_158_S"
"ENSG00000067900","7316_158_S"
"ENSG00000141298","7316_158_S"
"ENSG00000173418","7316_158_S"
"ENSG00000105976","7316_158_S"
"ENSG00000174165","7316_158_S"
"ENSG00000069956","7316_158_S"
"ENSG00000144579","7316_158_S"
"ENSG00000149923","7316_158_S"
"ENSG00000177108","7316_158_S"
"ENSG00000112742","7316_158_S"
"ENSG00000180776","7316_158_S"
"ENSG00000113721","7316_158_S"
"ENSG00000072518","7316_158_S"
"ENSG00000160075","7316_158_S"
"ENSG00000188818","7316_158_S"
"ENSG00000204160","7316_158_S"
"ENSG00000134853","7316_158_S"
"ENSG00000170836","7316_158_S"
"ENSG00000140443","7316_158_S"
"ENSG00000175215","7316_158_S"
"ENSG00000086015","7316_158_S"
"ENSG00000184203","7316_158_S"
"ENSG00000184545","7316_158_S"
"ENSG00000164045","7316_158_S"
"ENSG00000087586","7316_158_S"
"ENSG00000089022","7316_158_S"
"ENSG00000096063","7316_158_S"
"ENSG00000179295","7316_158_S"
"ENSG00000157404","7316_158_S"
"ENSG00000097046","7316_158_S"
"ENSG00000184007","7316_158_S"
"ENSG00000157540","7316_158_S"
"ENSG00000162434","7316_158_S"
"ENSG00000100030","7316_158_S"
"ENSG00000100749","7316_158_S"
"ENSG00000196396","7316_158_S"
"ENSG00000101266","7316_158_S"
"ENSG00000167601","7316_158_S"
"ENSG00000169398","7316_158_S"
"ENSG00000104375","7316_158_S"
"ENSG00000176444","7316_158_S"
"ENSG00000105221","7316_158_S"
"ENSG00000105613","7316_158_S"
"ENSG00000105810","7316_158_S"
"ENSG00000197122","7316_158_S"
"ENSG00000107779","7316_158_S"
"ENSG00000108443","7316_158_S"
"ENSG00000108946","7316_158_S"
"ENSG00000110931","7316_158_S"
"ENSG00000112062","7316_158_S"
"ENSG00000112739","7316_158_S"
"ENSG00000113712","7316_158_S"
"ENSG00000114302","7316_158_S"
"ENSG00000117676","7316_158_S"
"ENSG00000118046","7316_158_S"
"ENSG00000118515","7316_158_S"
"ENSG00000120539","7316_158_S"
"ENSG00000121989","7316_158_S"
"ENSG00000122966","7316_158_S"
"ENSG00000123374","7316_158_S"
"ENSG00000124784","7316_158_S"
"ENSG00000125651","7316_158_S"
"ENSG00000125834","7316_158_S"
"ENSG00000126562","7316_158_S"
"ENSG00000126934","7316_158_S"
"ENSG00000127564","7316_158_S"
"ENSG00000128829","7316_158_S"
"ENSG00000130175","7316_158_S"
"ENSG00000130669","7316_158_S"
"ENSG00000132356","7316_158_S"
"ENSG00000134058","7316_158_S"
"ENSG00000134318","7316_158_S"
"ENSG00000135250","7316_158_S"
"ENSG00000135341","7316_158_S"
"ENSG00000135446","7316_158_S"
"ENSG00000135503","7316_158_S"
"ENSG00000136807","7316_158_S"
"ENSG00000137193","7316_158_S"
"ENSG00000137601","7316_158_S"
"ENSG00000140992","7316_158_S"
"ENSG00000141551","7316_158_S"
"ENSG00000142208","7316_158_S"
"ENSG00000142731","7316_158_S"
"ENSG00000146872","7316_158_S"
"ENSG00000147133","7316_158_S"
"ENSG00000148660","7316_158_S"
"ENSG00000149269","7316_158_S"
"ENSG00000149311","7316_158_S"
"ENSG00000149554","7316_158_S"
"ENSG00000156970","7316_158_S"
"ENSG00000157106","7316_158_S"
"ENSG00000160584","7316_158_S"
"ENSG00000162302","7316_158_S"
"ENSG00000163349","7316_158_S"
"ENSG00000163558","7316_158_S"
"ENSG00000165304","7316_158_S"
"ENSG00000166333","7316_158_S"
"ENSG00000166483","7316_158_S"
"ENSG00000166851","7316_158_S"
"ENSG00000167258","7316_158_S"
"ENSG00000168067","7316_158_S"
"ENSG00000169032","7316_158_S"
"ENSG00000169679","7316_158_S"
"ENSG00000170145","7316_158_S"
"ENSG00000170312","7316_158_S"
"ENSG00000171219","7316_158_S"
"ENSG00000172071","7316_158_S"
"ENSG00000172315","7316_158_S"
"ENSG00000172939","7316_158_S"
"ENSG00000173327","7316_158_S"
"ENSG00000175054","7316_158_S"
"ENSG00000178093","7316_158_S"
"ENSG00000178950","7316_158_S"
"ENSG00000178999","7316_158_S"
"ENSG00000180370","7316_158_S"
"ENSG00000181409","7316_158_S"
"ENSG00000185324","7316_158_S"
"ENSG00000186716","7316_158_S"
"ENSG00000188322","7316_158_S"
"ENSG00000196455","7316_158_S"
"ENSG00000198586","7316_158_S"
"ENSG00000198648","7316_158_S"
"ENSG00000204217","7316_158_S"
"ENSG00000204435","7316_158_S"
"ENSG00000142657","7316_158_S"
"ENSG00000187630","7316_158_S"
"ENSG00000004455","7316_158_S"
"ENSG00000085231","7316_158_S"
"ENSG00000106992","7316_158_S"
"ENSG00000162433","7316_158_S"
"ENSG00000273841","7316_158_S"
"ENSG00000241258","7316_158_S"
"ENSG00000130707","7316_158_S"
"ENSG00000065989","7316_158_S"
"ENSG00000113231","7316_158_S"
"ENSG00000113448","7316_158_S"
"ENSG00000137496","7316_158_S"
"ENSG00000154678","7316_158_S"
"ENSG00000205268","7316_158_S"
"ENSG00000088766","7316_158_S"
"ENSG00000087157","7316_158_S"
"ENSG00000084090","7316_158_S"
"ENSG00000073060","7316_158_S"
"ENSG00000129353","7316_158_S"
"ENSG00000143036","7316_158_S"
