"id","cell"
"ENSG00000241258","ACH-000002"
"ENSG00000035687","ACH-000002"
"ENSG00000113448","ACH-000002"
"ENSG00000137496","ACH-000002"
"ENSG00000205268","ACH-000002"
"ENSG00000088766","ACH-000002"
"ENSG00000087157","ACH-000002"
"ENSG00000084090","ACH-000002"
"ENSG00000073060","ACH-000002"
"ENSG00000129353","ACH-000002"
"ENSG00000130164","ACH-000002"
"ENSG00000162408","ACH-000002"
"ENSG00000088305 and ENSG00000130816","ACH-000002"
"ENSG00000148459","ACH-000002"
"ENSG00000164494","ACH-000002"
"ENSG00000066926","ACH-000002"
"ENSG00000239900","ACH-000002"
"ENSG00000139433","ACH-000002"
"ENSG00000153574","ACH-000002"
"ENSG00000099194","ACH-000004"
"ENSG00000068366","ACH-000004"
"ENSG00000099797","ACH-000004"
"ENSG00000084754 and ENSG00000138029 and ENSG00000167315","ACH-000004"
"ENSG00000110090","ACH-000004"
"ENSG00000101986","ACH-000004"
"ENSG00000060971 and ENSG00000113790 and ENSG00000133835","ACH-000004"
"ENSG00000169710","ACH-000004"
"ENSG00000084754 and ENSG00000113790 and ENSG00000127884","ACH-000004"
"ENSG00000084754 and ENSG00000113790 and ENSG00000167969 and ENSG00000198721","ACH-000004"
"ENSG00000149084","ACH-000004"
"ENSG00000012779","ACH-000004"
"ENSG00000134824","ACH-000004"
"ENSG00000197375","ACH-000004"
"ENSG00000089597","ACH-000004"
"ENSG00000115275","ACH-000004"
"ENSG00000118705 and ENSG00000129562 and ENSG00000134910 and ENSG00000163902 and ENSG00000244038","ACH-000004"
"ENSG00000139133","ACH-000004"
"ENSG00000155380","ACH-000004"
"ENSG00000127125","ACH-000004"
"ENSG00000163344","ACH-000004"
"ENSG00000110921","ACH-000004"
"ENSG00000124370","ACH-000004"
"ENSG00000113161","ACH-000004"
"ENSG00000124767","ACH-000004"
"ENSG00000149313","ACH-000004"
"ENSG00000151093","ACH-000004"
"ENSG00000138814 and ENSG00000221823","ACH-000004"
"ENSG00000055609 and ENSG00000272333","ACH-000004"
"ENSG00000072062","ACH-000004"
"ENSG00000157326","ACH-000004"
"ENSG00000100714","ACH-000004"
"ENSG00000065911","ACH-000004"
